wormbase_gene	wormbase_locus	wormbase_gseq	entrezgene_id	description	uniprot_swissprot_accession	Wormbase_mode_of_regulation	Uniprot_mode_of_regulation
WBGene00000899	daf-3	F25E2.5	180431	Smad protein daf-3  [Source:UniProtKB/Swiss-Prot;Acc:Q95QI7]	Q95QI7		
WBGene00009133	bed-3	F25H8.6	184940	Zinc finger BED domain-containing protein 3  [Source:UniProtKB/Swiss-Prot;Acc:Q19787]	Q19787		
WBGene00001437	fkh-5	F26A1.2	184944	Putative forkhead-related transcription factor fkh-5  [Source:UniProtKB/Swiss-Prot;Acc:Q19802]	Q19802		
WBGene00017814		F26A10.2	181025	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19807]			
WBGene00002601	let-381	F26B1.7	172331	Forkhead box protein F  [Source:UniProtKB/Swiss-Prot;Acc:P91278]	P91278		
WBGene00006744	unc-4	F26C11.2	174544	Homeobox protein unc-4  [Source:UniProtKB/Swiss-Prot;Acc:P29506]	P29506	-1	
WBGene00001439	fkh-7	F26D12.1	177340	Fork-head domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q86ME9]			
WBGene00005011		F26F4.8	184991	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19820]			
WBGene00009174		F26H9.2	172753	Phosphatase and actin regulator 1  [Source:UniProtKB/TrEMBL;Acc:P91855]			
WBGene00003939	pax-3	F27E5.2	185022	Paired box protein 3 homolog  [Source:UniProtKB/Swiss-Prot;Acc:G5ED66]	G5ED66		1
WBGene00001208	egl-44	F28B12.2	174005	Transcription enhancer factor-like protein egl-44  [Source:UniProtKB/Swiss-Prot;Acc:Q19849]	Q19849		-1
WBGene00009203	aptf-3	F28C6.2	185047	Transcription factor AP-2 C-terminal domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19862]			
WBGene00006970	zag-1	F28F9.1	177144	Zinc finger E-box-binding homeobox protein zag-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EBU4]	G5EBU4		-1
WBGene00000445	ceh-22	F29F11.5	179485	Homeobox protein ceh-22  [Source:UniProtKB/Swiss-Prot;Acc:P41936]	P41936		1
WBGene00001345	fos-1	F29G9.4	178987	Transcription factor fos-1  [Source:UniProtKB/Swiss-Prot;Acc:G5ECG2]	G5ECG2		
WBGene00001967	hlh-28	F31A3.2	185134	BHLH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19918]			
WBGene00001968	hlh-29	F31A3.4	185136	BHLH domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19917]			
WBGene00000443	ceh-20	F31E3.1	3565545	Homeobox protein ceh-20  [Source:UniProtKB/Swiss-Prot;Acc:P41779]	P41779		
WBGene00006380	tab-1	F31E8.3	185156	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1X7RC60]			
WBGene00017967	ada-2	F32A5.1	174194	SANT domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q5DX44]			
WBGene00003603	nhr-4	F32B6.1	177839	Nuclear hormone receptor family member nhr-4  [Source:UniProtKB/Swiss-Prot;Acc:O45436]	O45436		
WBGene00001568	snpc-4	F32H2.1	172711	snRNA-activating protein complex subunit 4 homolog  [Source:UniProtKB/Swiss-Prot;Acc:P91868]	P91868		
WBGene00000472	cey-1	F33A8.3	174690	CSD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O62213]			
WBGene00018009	dhhc-3	F33D11.12	172257	Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q95X59]			
WBGene00000436	ceh-12	F33D11.4	172255	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A131MAP5]			
WBGene00003607	nhr-8	F33D4.1	177551	Nuclear hormone receptor family member nhr-8  [Source:UniProtKB/Swiss-Prot;Acc:Q9XYB7]	Q9XYB7		
WBGene00000914	daf-19	F33H1.1	174577	RFX-like transcription factor daf-19  [Source:UniProtKB/Swiss-Prot;Acc:Q09555]	Q09555	1	
WBGene00009365		F33H1.4	174580	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q19991]			
WBGene00003033	lin-48	F34D10.5	175485	Transcription factor ovo-like homolog lin-48  [Source:UniProtKB/Swiss-Prot;Acc:G5EDU6]	G5EDU6		
WBGene00009448	zfp-2	F35H8.3	174505	Zinc finger protein zfp-2  [Source:UniProtKB/Swiss-Prot;Acc:Q20082]	Q20082		-1
WBGene00003668	nhr-78	F36A4.14	191727	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q20097]			
WBGene00009461	madf-2	F36D1.1	173019	MADF domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XV35]			
WBGene00018099	ztf-28	F36F12.8	185364	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O76398]			
WBGene00018140		F37B4.10	178746	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A0M7RDT5]			
WBGene00009508	row-1	F37D6.2	172928	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A5JYT9]		1	
WBGene00003046	lir-3	F37H8.1	174707	Transcription factor lir-3  [Source:UniProtKB/Swiss-Prot;Acc:O17862]	O17862		1
WBGene00004013	pha-4	F38A6.1	180357	Defective pharyngeal development protein 4  [Source:UniProtKB/Swiss-Prot;Acc:Q17381]	Q17381		
WBGene00001851	hif-1	F38A6.3	180359	Hypoxia-inducible factor 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGD2]	G5EGD2		
WBGene00001961	hlh-17	F38C2.2	185460	Helix-loop-helix protein 17  [Source:UniProtKB/Swiss-Prot;Acc:O45489]	O45489	1	
WBGene00009553	hinf-1	F39B2.1	173348	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O45494]			
WBGene00004950	sox-3	F40E10.2	185534	Transcription factor sox-3  [Source:UniProtKB/Swiss-Prot;Acc:Q20201]	Q20201		
WBGene00004096	pqm-1	F40F8.7	174705	Zinc finger transcription factor pqm-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EFY7]	G5EFY7		0
WBGene00009584	drap-1	F40F9.7	179365	Transcription factor CBF/NF-Y/archaeal histone domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q86G95]		1	
WBGene00003510	mxl-2	F40G9.11	175184	Max-like protein homolog 2  [Source:UniProtKB/Swiss-Prot;Acc:Q9TZ70]	Q9TZ70		
WBGene00001440	fkh-8	F40H3.4	174026	Fork-head domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KZ39]			
WBGene00006547	tbx-11	F40H6.4	185575	Putative T-box protein 11  [Source:UniProtKB/Swiss-Prot;Acc:Q20257]	Q20257		
WBGene00018265	nhr-182	F41B5.9	185593	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O16676]			
WBGene00006999	zyx-1	F42G4.3	174951	Zyxin  [Source:UniProtKB/Swiss-Prot;Acc:Q9U3F4]	Q9U3F4		
WBGene00003619	nhr-20	F43C1.4	175546	Nuclear hormone receptor family member nhr-20  [Source:UniProtKB/Swiss-Prot;Acc:Q09565]	Q09565		
WBGene00000468	ces-1	F43G9.11	185718	C2H2-type domain-containing protein; CES-1  [Source:UniProtKB/TrEMBL;Acc:G5ECN8]		-1	
WBGene00004786	sex-1	F44A6.2	181231	Steroid hormone receptor family member cnr14  [Source:UniProtKB/Swiss-Prot;Acc:P41830]	P41830		
WBGene00003686	nhr-96	F44C8.11	178703	Nuclear hormone receptor family member nhr-96  [Source:UniProtKB/Swiss-Prot;Acc:Q95X91]	Q95X91		
WBGene00018420		F44E2.7	176245	Putative zinc finger protein F44E2.7  [Source:UniProtKB/Swiss-Prot;Acc:P34437]	P34437		
WBGene00018430	nhr-142	F44E7.8	185740	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:J7SF93]			
WBGene00003701	nhr-111	F44G3.9	185757	Nuclear hormone receptor family member nhr-111  [Source:UniProtKB/Swiss-Prot;Acc:O45521]	O45521	1	
WBGene00003909	pag-3	F45B8.4	181588	Zinc finger protein GFI1 homolog pag-3  [Source:UniProtKB/Swiss-Prot;Acc:G5EDE1]	G5EDE1		
WBGene00018446	ceh-83	F45C12.15	173541	Homeodomain-only protein  [Source:UniProtKB/TrEMBL;Acc:O16749]			
WBGene00018433	ceh-82	F45C12.2	185766	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O16748]			
WBGene00004046	plp-1	F45E4.2	177540	Transcriptional activator plp-1  [Source:UniProtKB/Swiss-Prot;Acc:Q94230]	Q94230		
WBGene00000222	atf-6	F45E6.2	181405	Transcription factor atf-6 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q20435]	Q20435	1	
WBGene00009743	sptf-1	F45H11.1	172909	Specificity protein transcription factor 1  [Source:UniProtKB/Swiss-Prot;Acc:Q93727]	Q93727		
WBGene00077521	maf-1	F45H11.6	6418592	Basic leucine zipper domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:B0M0M9]			
WBGene00009772	ztf-7	F46B6.7	179375	Zinc finger protein ztf-7  [Source:UniProtKB/Swiss-Prot;Acc:Q20448]	Q20448		
WBGene00000438	ceh-14	F46C8.5	181012	LIM/homeobox protein ceh-14  [Source:UniProtKB/Swiss-Prot;Acc:P20271]	P20271		
WBGene00000449	ceh-27	F46F3.1	185853	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XVN4]			
WBGene00003511	mxl-3	F46G10.6	181457		Q18711		
WBGene00009834	lsy-27	F47H4.1	180149	Zinc finger protein lsy-27  [Source:UniProtKB/Swiss-Prot;Acc:O45526]	O45526		
WBGene00001957	hlh-13	F48D6.3	185980	Helix-loop-helix protein 13  [Source:UniProtKB/Swiss-Prot;Acc:Q20561]	Q20561		1
WBGene00018622	nhr-190	F48G7.11	185999	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O44593]			
WBGene00006424	ctbp-1	F49E10.5	180853	C-terminal-binding protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20595]	Q20595		-1
WBGene00009899	efl-3	F49E12.6	174341	Transcription factor efl-3  [Source:UniProtKB/Swiss-Prot;Acc:Q20619]	Q20619		-1
WBGene00003087	lsy-2	F49H12.1	180522	Zinc finger protein lsy-2  [Source:UniProtKB/Swiss-Prot;Acc:Q9N5S3]	Q9N5S3		
WBGene00000467	cep-1	F52B5.5	172616	Transcription factor cep-1  [Source:UniProtKB/Swiss-Prot;Acc:Q20646]	Q20646		
WBGene00009923		F52B5.7	3565939	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q7YWZ7]			
WBGene00001253	elt-6	F52C12.5	176993	Transcription factor elt-6  [Source:UniProtKB/Swiss-Prot;Acc:G5EGN3]	G5EGN3	-1	
WBGene00009937	lsl-1	F52F12.4	172844	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O02273]			
WBGene00009939	ztf-11	F52F12.6	172845	Zinc finger protein ztf-11  [Source:UniProtKB/Swiss-Prot;Acc:O02274]	O02274	-1	-1
WBGene00018740	tra-4	F53B3.1	180575	Zinc finger protein tra-4  [Source:UniProtKB/Swiss-Prot;Acc:Q20709]	Q20709		
WBGene00009998	klf-2	F53F8.1	186179	Kruppel-like factor 2  [Source:UniProtKB/Swiss-Prot;Acc:O62259]	O62259		
WBGene00010012	saeg-1	F53H10.2	179505	Suppressor of activated egl-4 protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q20733]	Q20733		
WBGene00010010	gmeb-2	F53H4.5	181676	SAND domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q93779]			
WBGene00018786	hmbx-1	F54A5.1	171679	Homeobox-containing protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9TYT0]	Q9TYT0		-1
WBGene00018794	attf-3	F54C4.3	175173	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G4S460]			
WBGene00003606	nhr-7	F54D1.4	178035	Nuclear hormone receptor family member nhr-7  [Source:UniProtKB/Swiss-Prot;Acc:Q20765]	Q20765		
WBGene00018833	ztf-1	F54F2.5	176236	Zinc finger transcription factor family protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P34450]	P34450		
WBGene00003480	klf-3	F54H5.4	191713	Kruppel-like factor 3  [Source:UniProtKB/Swiss-Prot;Acc:Q65ZG6]	Q65ZG6		
WBGene00001186	egl-18	F55A8.1	176992	Putative transcription factor egl-18  [Source:UniProtKB/Swiss-Prot;Acc:G5EGF4]	G5EGF4		
WBGene00000447	ceh-24	F55B12.1	179877	Homeobox protein ceh-24  [Source:UniProtKB/Swiss-Prot;Acc:Q9NLC2]	Q9NLC2		
WBGene00044791	bnc-1	F55C5.11	4363106	Basonuclin zinc finger protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q1ZXU0]	Q1ZXU0	-1	
WBGene00006790	unc-55	F55D12.4	192082	Nuclear hormone receptor unc-55  [Source:UniProtKB/Swiss-Prot;Acc:G5ECR9]	G5ECR9	-1	
WBGene00010137	ztf-26	F55H12.6	172699	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A5JYU2]			
WBGene00006775	unc-39	F56A12.1	191623	Homeobox protein unc-39  [Source:UniProtKB/Swiss-Prot;Acc:O17894]	O17894		
WBGene00001400	fax-1	F56E3.4	180609	Nuclear hormone receptor family member fax-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EDJ0]	G5EDJ0	1	
WBGene00018990	klf-1	F56F11.3	175404	Kruppel-like factor 1  [Source:UniProtKB/Swiss-Prot;Acc:Q9TZ64]	Q9TZ64		
WBGene00002783	let-607	F57B10.1	266837	CREB-H transcription factor homolog let-607  [Source:UniProtKB/Swiss-Prot;Acc:O44743]	O44743		
WBGene00019011		F57C9.4	172100	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A5A8Q6]			
WBGene00001955	hlh-11	F58A4.7	176360	Helix-loop-helix protein 11  [Source:UniProtKB/Swiss-Prot;Acc:P34474]	P34474		
WBGene00001310	end-1	F58E10.2	179893	GATA transcription factor END-1; GATA-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EDN4]			
WBGene00001311	end-3	F58E10.5	191631	GATA-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XUW7]			
WBGene00006778	unc-42	F58E6.10	192081	Homeobox protein unc-42  [Source:UniProtKB/Swiss-Prot;Acc:L8E946]	L8E946	1	
WBGene00003627	nhr-34	F58G6.5	177800	Nuclear hormone receptor family member nhr-34  [Source:UniProtKB/Swiss-Prot;Acc:Q21006]	Q21006		
WBGene00010323	dhhc-12	F59C6.2	186602	Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q93828]			
WBGene00003602	nhr-3	H01A20.1	181551	Nuclear hormone receptor family member nhr-3  [Source:UniProtKB/Swiss-Prot;Acc:Q9XTJ4]	Q9XTJ4		
WBGene00010353	memi-3	H02I12.5	178064	MEiosis-to-MItosis transition associated  [Source:UniProtKB/TrEMBL;Acc:O45603]			
WBGene00003670	nhr-80	H10E21.3	175167	Nuclear hormone receptor family member nhr-80  [Source:UniProtKB/Swiss-Prot;Acc:Q8ITW8]	Q8ITW8		
WBGene00019218	madf-3	H20J04.3	186755	Alcohol dehydrogenase transcription factor myb/sant-like protein  [Source:UniProtKB/TrEMBL;Acc:Q9N5M0]			
WBGene00003148	mbf-1	H21P03.1	178071	HTH cro/C1-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9XTV4]			
WBGene00010410	nhr-267	H22D14.1	186760	Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EG35]			
WBGene00019257	dhhc-13	H32C10.3	186797	Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q9TYQ6]			
WBGene00003037	lin-54	JC8.6	178280	CRC domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A486WX88]	Q95QD7		
WBGene00010453	fozi-1	K01B6.1	176308	Formin-homology and zinc finger domains protein 1  [Source:UniProtKB/Swiss-Prot;Acc:P34489]	P34489		
WBGene00003629	nhr-38	K01H12.3	191720	Nuclear receptor domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q21104]			
WBGene00000431	ceh-6	K02B12.1	172640	Homeobox protein ceh-6  [Source:UniProtKB/Swiss-Prot;Acc:P20268]	P20268		
WBGene00001251	elt-3	K02B9.4	181503	Transcription factor elt-3  [Source:UniProtKB/Swiss-Prot;Acc:B7WN96]	B7WN96	1	
WBGene00019299	snai-1	K02D7.2	186874	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O45103]			
WBGene00019327	zip-2	K02F3.4	175240	Transcription factor zip-2  [Source:UniProtKB/Swiss-Prot;Acc:Q21148]	Q21148		
WBGene00019344	dhhc-10	K02G10.1	180745	Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q21161]			
WBGene00000450	ceh-28	K03A11.3	191619	Homeobox protein ceh-28  [Source:UniProtKB/Swiss-Prot;Acc:G5EE18]	G5EE18	1	
WBGene00001441	fkh-9	K03C7.2	180670	Forkhead transcription factor fkh-9  [Source:UniProtKB/Swiss-Prot;Acc:Q21187]	Q21187		
WBGene00002988	lim-6	K03E6.1	180459	LIM/homeobox protein lim-6  [Source:UniProtKB/Swiss-Prot;Acc:Q21192]	Q21192		
WBGene00003181	med-2	K04C2.6	191706	GATA-type domain-containing protein; GATA-type transcription factor  [Source:UniProtKB/TrEMBL;Acc:G5EF25]			
WBGene00004764	sel-7	K04G11.2	181539	Putative transcription factor sel-7  [Source:UniProtKB/Swiss-Prot;Acc:G5EGS7]	G5EGS7		
WBGene00019407	lect-2	K05F1.5	173978	Leukocyte cell-derived chemotaxin-2 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q21241]	Q21241		
WBGene00019424	aptf-1	K06A1.1	187043	Transcription factor aptf-1  [Source:UniProtKB/Swiss-Prot;Acc:Q09585]	Q09585	1	
WBGene00003621	nhr-22	K06A1.4	174066	Nuclear hormone receptor family member nhr-22  [Source:UniProtKB/Swiss-Prot;Acc:Q09587]	Q09587		
WBGene00003643	nhr-53	K06B4.11	180053	Nuclear hormone receptor family member nhr-53  [Source:UniProtKB/Swiss-Prot;Acc:O17933]	O17933		
WBGene00003938	pax-2	K06B9.5	187062	Paired box protein 2 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q21263]	Q21263		
WBGene00003937	pax-1	K07C11.1	187105	Paired box protein 1 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q21272]	Q21272		
WBGene00003678	nhr-88	K08A2.5	173641	Nuclear hormone receptor E75  [Source:UniProtKB/TrEMBL;Acc:H2KZA1]			
WBGene00004949	sox-2	K08A8.2	181002	Transcription factor sox-2  [Source:UniProtKB/Swiss-Prot;Acc:Q21305]	Q21305		
WBGene00002245	lag-1	K08B4.1	177373	Suppressor of hairless protein homolog  [Source:UniProtKB/Swiss-Prot;Acc:V6CLJ5]	V6CLJ5		
WBGene00000220	atf-2	K08F8.2	174399	Transcription factor atf-2  [Source:UniProtKB/Swiss-Prot;Acc:Q21361]	Q21361	-1	
WBGene00003626	nhr-32	K08H2.8	187178	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q21372]			
WBGene00010704		K09A11.1	187182	BED-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q21374]			
WBGene00003639	nhr-49	K10C3.6	172839	Nuclear hormone receptor family member nhr-49  [Source:UniProtKB/Swiss-Prot;Acc:O45666]	O45666	1	
WBGene00019629	cid-1	K10D2.3	175707	RNA uridylyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q09409]			
WBGene00003017	lin-31	K10G6.1	173740		P34683		
WBGene00004751	sea-2	K10G6.3	173738	Signal element on autosome protein 2  [Source:UniProtKB/Swiss-Prot;Acc:A0A0K3AUE4]	A0A0K3AUE4		
WBGene00019651		K11D12.12	259619	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q8T7Z2]			
WBGene00010770		K11D2.4	187291	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5ECP1]			
WBGene00003661	nhr-71	K11E4.5	181491	Nuclear hormone receptor family member nhr-71  [Source:UniProtKB/Swiss-Prot;Acc:Q9GTD4]	Q9GTD4		
WBGene00000448	pros-1	K12H4.1	176137	Homeobox protein prospero homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:P34522]	P34522		
WBGene00019691		K12H6.12	187348	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q9N5H8]			
WBGene00019751		M03D4.4	177375	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q5TYL4]			
WBGene00003218	mep-1	M04B2.1	178074	MOG interacting and ectopic P-granules protein 1  [Source:UniProtKB/Swiss-Prot;Acc:Q21502]	Q21502		
WBGene00010868	somi-1	M04G12.4	179819	Zinc finger protein somi-1  [Source:UniProtKB/Swiss-Prot;Acc:A0A486WWJ9]	A0A486WWJ9		
WBGene00006873	vab-7	M142.4	176521	Homeobox protein vab-7  [Source:UniProtKB/Swiss-Prot;Acc:Q93899]	Q93899		
WBGene00010936	ztf-14	M163.2	187492	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A486WWY9]			
WBGene00004011	pha-2	M6.3	187454	Homeobox protein HEX homolog pha-2  [Source:UniProtKB/Swiss-Prot;Acc:Q21578]	Q21578		-1
WBGene00019816	nhr-204	R02C2.4	187519	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:A0A0K3AVS8]			
WBGene00019824		R02D3.7	176844	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O44505]			
WBGene00000584	cog-1	R03C1.3	175149	COG-1B; Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EGF2]			
WBGene00010995	ceh-90	R03E1.4	3565071	Homeobox domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A1X7RBN4]			
WBGene00003163	mdl-1	R03E9.1	180942	Mad-like protein 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EG44]	G5EG44		
WBGene00011002	nhr-205	R04B5.3	187567	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:Q21700]			
WBGene00003611	nhr-12	R04B5.4	179403	Nuclear hormone receptor family member nhr-12  [Source:UniProtKB/Swiss-Prot;Acc:Q21701]	Q21701		
WBGene00000904	daf-8	R05D11.1	187612	Smad protein daf-8  [Source:UniProtKB/Swiss-Prot;Acc:Q21733]	Q21733		
WBGene00011060		R06C1.6	173077				
WBGene00011066	ztf-15	R06C7.9	172470	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:Q21777]			
WBGene00011069	ceh-62	R06F6.6	187642	Homeobox protein ceh-62  [Source:UniProtKB/Swiss-Prot;Acc:Q09602]	Q09602		
WBGene00006881	vab-15	R07B1.1	181197	Homeobox protein vab-15  [Source:UniProtKB/Swiss-Prot;Acc:Q09604]	Q09604		
WBGene00045419	lsy-12	R07B5.9	3565873	Histone acetyltransferase lsy-12  [Source:UniProtKB/Swiss-Prot;Acc:K8ERR8]	K8ERR8		
WBGene00011130	zip-6	R07H5.10	187691	BZIP domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:G5EFX5]			
WBGene00044330	alr-1	R08B4.2	181302	Homeobox ARX homolog alr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21836]	Q21836		
WBGene00019960	ztf-16	R08E3.4	180756	Zinc finger protein ztf-16  [Source:UniProtKB/Swiss-Prot;Acc:H2L008]	H2L008		
WBGene00003600	nhr-1	R09G11.2	181783	Nuclear hormone receptor family member nhr-1  [Source:UniProtKB/Swiss-Prot;Acc:Q21878]	Q21878		
WBGene00003694	nhr-104	R11E3.5	177248	NR LBD domain-containing protein; Nuclear receptor NHR-104  [Source:UniProtKB/TrEMBL;Acc:Q86PJ5]			
WBGene00001324	eor-1	R11E3.6	177249	EOR-1; Zinc finger protein  [Source:UniProtKB/TrEMBL;Acc:G5EDU4]			
WBGene00003722	nhr-132	R11G11.1	187822	NR LBD domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:O16961]			
WBGene00004858	sma-4	R12B2.1	175815	Dwarfin sma-4  [Source:UniProtKB/Swiss-Prot;Acc:P45897]	P45897		
WBGene00011259	miz-1	R13.4	3565074	Zmiz1 N-terminal tetratricopeptide repeat domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:A0A061AE46]			
WBGene00000437	ceh-13	R13A5.5	176069	Homeobox protein ceh-13  [Source:UniProtKB/Swiss-Prot;Acc:P17488]	P17488		
WBGene00020062	nhr-270	R13D11.8	187867	Nuclear Hormone Receptor family  [Source:UniProtKB/TrEMBL;Acc:O17013]			
WBGene00020066	dhhc-5	R13F6.5	187870	Palmitoyltransferase  [Source:UniProtKB/TrEMBL;Acc:Q21981]			
WBGene00004857	sma-3	R13F6.9	175955	Dwarfin sma-3  [Source:UniProtKB/Swiss-Prot;Acc:P45896]	P45896		
WBGene00000912	daf-16	R13H8.1	172981	Forkhead box protein O  [Source:UniProtKB/Swiss-Prot;Acc:O16850]	O16850		
WBGene00020093		R144.3	187900	C2H2-type domain-containing protein  [Source:UniProtKB/TrEMBL;Acc:H2KZ21]			
WBGene00001207	egl-43	R53.3	174552	Zinc finger protein egl-43  [Source:UniProtKB/Swiss-Prot;Acc:Q22024]	Q22024		
WBGene00006959	xbp-1	R74.3	175541	X-box-binding protein 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EE07]	G5EE07	1	
WBGene00011315	mbr-1	T01C1.2	187937	Mblk-1-related factor 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGQ5]	G5EGQ5		1
WBGene00004334	ref-1	T01E8.2	174585	Regulator of fusion ref-1  [Source:UniProtKB/Swiss-Prot;Acc:G5EEQ5]	G5EEQ5	-1	
WBGene00003720	nhr-130	T01G6.8	187965	Nuclear hormone receptor family member nhr-130  [Source:UniProtKB/Swiss-Prot;Acc:O16963]	O16963		
WBGene00003630	nhr-40	T03G6.2	180560	Nuclear hormone receptor family member nhr-40  [Source:UniProtKB/Swiss-Prot;Acc:Q22127]	Q22127		
WBGene00000221	atf-4	T04C10.4	181576	Transcription factor atf-4 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q22156]	Q22156		
WBGene00020214	attf-5	T04G9.1	3565014	AT hook Transcription Factor family  [Source:UniProtKB/TrEMBL;Acc:A0A168HBV3]			
WBGene00004862	sma-9	T05A10.1	181271	Transcription factor sma-9  [Source:UniProtKB/Swiss-Prot;Acc:Q7JM44]	Q7JM44		0
WBGene00001976	hmg-11	T05A7.4	173805	HMG; High mobility group protein I alpha  [Source:UniProtKB/TrEMBL;Acc:G5EEL9]			
WBGene00020251	camt-1	T05C1.4	173786	Calmodulin-binding transcription activator homolog 1  [Source:UniProtKB/Swiss-Prot;Acc:H2KY84]	H2KY84	1	
WBGene00003241	mig-5	T05C12.6	174317	Segment polarity protein dishevelled homolog mig-5  [Source:UniProtKB/Swiss-Prot;Acc:Q22227]	Q22227		
WBGene00011505	pzf-1	T05G11.1	188142	Paired zinc finger protein 1  [Source:UniProtKB/Swiss-Prot;Acc:G5EGQ2]	G5EGQ2		
WBGene00001951	hlh-4	T05G5.2	176372	Helix-loop-helix protein 4  [Source:UniProtKB/Swiss-Prot;Acc:P34555]	P34555		
WBGene00001155	ech-6	T05G5.6	176376	"Probable enoyl-CoA hydratase, mitochondrial  [Source:UniProtKB/Swiss-Prot;Acc:P34559]"	P34559		
